team_a_id,team_a_name,team_b_id,team_b_name
T19,瑞安市,T20,乐清市
T19,瑞安市,T21,龙港市
T19,瑞安市,T22,永嘉县
T19,瑞安市,T23,平阳县
T19,瑞安市,T24,苍南县
T19,瑞安市,T25,文成县
T19,瑞安市,T26,泰顺县
T20,乐清市,T21,龙港市
T20,乐清市,T22,永嘉县
T20,乐清市,T23,平阳县
T20,乐清市,T24,苍南县
T20,乐清市,T25,文成县
T20,乐清市,T26,泰顺县
T21,龙港市,T22,永嘉县
T21,龙港市,T23,平阳县
T21,龙港市,T24,苍南县
T21,龙港市,T25,文成县
T21,龙港市,T26,泰顺县
T22,永嘉县,T23,平阳县
T22,永嘉县,T24,苍南县
T22,永嘉县,T25,文成县
T22,永嘉县,T26,泰顺县
T23,平阳县,T24,苍南县
T23,平阳县,T25,文成县
T23,平阳县,T26,泰顺县
T24,苍南县,T25,文成县
T24,苍南县,T26,泰顺县
T25,文成县,T26,泰顺县
T27,海宁市,T28,平湖市
T27,海宁市,T29,桐乡市
T27,海宁市,T30,嘉善县
T27,海宁市,T31,海盐县
T28,平湖市,T29,桐乡市
T28,平湖市,T30,嘉善县
T28,平湖市,T31,海盐县
T29,桐乡市,T30,嘉善县
T29,桐乡市,T31,海盐县
T30,嘉善县,T31,海盐县
T32,德清县,T33,长兴县
T32,德清县,T34,安吉县
T33,长兴县,T34,安吉县
T35,诸暨市,T36,嵊州市
T35,诸暨市,T37,新昌县
T36,嵊州市,T37,新昌县
T38,兰溪市,T39,义乌市
T38,兰溪市,T40,东阳市
T38,兰溪市,T41,永康市
T38,兰溪市,T42,武义县
T38,兰溪市,T43,浦江县
T38,兰溪市,T44,磐安县
T39,义乌市,T40,东阳市
T39,义乌市,T41,永康市
T39,义乌市,T42,武义县
T39,义乌市,T43,浦江县
T39,义乌市,T44,磐安县
T40,东阳市,T41,永康市
T40,东阳市,T42,武义县
T40,东阳市,T43,浦江县
T40,东阳市,T44,磐安县
T41,永康市,T42,武义县
T41,永康市,T43,浦江县
T41,永康市,T44,磐安县
T42,武义县,T43,浦江县
T42,武义县,T44,磐安县
T43,浦江县,T44,磐安县
T45,江山市,T46,常山县
T45,江山市,T47,开化县
T45,江山市,T48,龙游县
T46,常山县,T47,开化县
T46,常山县,T48,龙游县
T47,开化县,T48,龙游县
T49,岱山县,T50,嵊泗县
T51,温岭市,T52,临海市
T51,温岭市,T53,玉环市
T51,温岭市,T54,三门县
T51,温岭市,T55,天台县
T51,温岭市,T56,仙居县
T52,临海市,T53,玉环市
T52,临海市,T54,三门县
T52,临海市,T55,天台县
T52,临海市,T56,仙居县
T53,玉环市,T54,三门县
T53,玉环市,T55,天台县
T53,玉环市,T56,仙居县
T54,三门县,T55,天台县
T54,三门县,T56,仙居县
T55,天台县,T56,仙居县
T57,龙泉市,T58,青田县
T57,龙泉市,T59,缙云县
T57,龙泉市,T60,遂昌县
T57,龙泉市,T61,松阳县
T57,龙泉市,T62,云和县
T57,龙泉市,T63,庆元县
T57,龙泉市,T64,景宁畲族自治县
T58,青田县,T59,缙云县
T58,青田县,T60,遂昌县
T58,青田县,T61,松阳县
T58,青田县,T62,云和县
T58,青田县,T63,庆元县
T58,青田县,T64,景宁畲族自治县
T59,缙云县,T60,遂昌县
T59,缙云县,T61,松阳县
T59,缙云县,T62,云和县
T59,缙云县,T63,庆元县
T59,缙云县,T64,景宁畲族自治县
T60,遂昌县,T61,松阳县
T60,遂昌县,T62,云和县
T60,遂昌县,T63,庆元县
T60,遂昌县,T64,景宁畲族自治县
T61,松阳县,T62,云和县
T61,松阳县,T63,庆元县
T61,松阳县,T64,景宁畲族自治县
T62,云和县,T63,庆元县
T62,云和县,T64,景宁畲族自治县
T63,庆元县,T64,景宁畲族自治县
